"","cutoff_index","TP_ALL"
"1730",810833900,4698
"1731",810578800,4698
"1732",808316700,4697
"1733",808148350,4697
"1734",800638900,4696
"1735",792367700,4695
"1736",786780800,4694
"1737",785865200,4693
"1738",780404300,4692
"1739",773581300,4691
"1740",771880770,4690
"1741",771842400,4689
"1742",768956800,4688
"1743",764313300,4687
"1744",760789200,4686
"1745",756976400,4685
"1746",753264400,4684
"1747",752612000,4684
"1748",750287300,4683
"1749",749141500,4682
"1750",748944100,4681
"1751",746149900,4680
"1752",744300400,4679
"1753",743551800,4679
"1754",739176200,4678
"1755",732122240,4677
"1756",729530900,4676
"1757",728310600,4676
"1758",724737500,4675
"1759",719468800,4674
"1760",715325200,4674
"1761",714891300,4673
"1762",707351700,4672
"1763",707149950,4671
"1764",707069100,4670
"1765",703551000,4669
"1766",701785150,4668
"1767",701671360,4667
"1768",701253600,4666
"1769",699797900,4665
"1770",699036000,4664
"1771",696024770,4663
"1772",693822660,4662
"1773",690126340,4661
"1774",688690800,4660
"1775",685299800,4660
"1776",684719600,4659
"1777",684086900,4659
"1778",679388600,4659
"1779",675164600,4658
"1780",671604740,4657
"1781",669137700,4656
"1782",666492100,4655
"1783",665933400,4654
"1784",661017300,4653
"1785",655644540,4652
"1786",654228200,4651
"1787",651728960,4650
"1788",650647230,4649
"1789",649878300,4648
"1790",646254900,4647
"1791",645352260,4646
"1792",643925400,4645
"1793",643635400,4644
"1794",641415360,4643
"1795",639313100,4642
"1796",639098800,4641
"1797",638977600,4640
"1798",638321300,4640
"1799",635856700,4639
"1800",633633800,4639
"1801",632805900,4639
"1802",632789200,4638
"1803",632214000,4637
"1804",630255000,4637
"1805",629738560,4636
"1806",628736600,4635
"1807",620907000,4634
"1808",620615000,4633
"1809",619849400,4632
"1810",615663300,4632
"1811",613550500,4631
"1812",612848900,4630
"1813",612465150,4629
"1814",612169500,4628
"1815",611473540,4627
"1816",609431800,4626
"1817",608376900,4625
"1818",607866500,4624
"1819",606575200,4623
"1820",604536200,4622
"1821",604242560,4621
"1822",603271300,4621
"1823",602193540,4620
"1824",600396540,4619
"1825",597920800,4619
"1826",597363650,4618
"1827",596107900,4617
"1828",595162400,4617
"1829",593212200,4616
"1830",592296300,4615
"1831",591820200,4614
"1832",590663360,4613
"1833",590660400,4613
"1834",587039100,4612
"1835",586956160,4611
"1836",586179600,4610
"1837",577058900,4609
"1838",576906800,4608
"1839",575088900,4607
"1840",572385150,4606
"1841",571023040,4605
"1842",570669700,4604
"1843",570369660,4603
"1844",570334660,4602
"1845",569654100,4601
"1846",567010300,4600
"1847",565429900,4599
"1848",565382400,4598
"1849",564159700,4597
"1850",563184000,4597
"1851",562028000,4596
"1852",560036740,4595
"1853",558853300,4594
"1854",558572900,4593
"1855",558462400,4592
"1856",557155700,4591
"1857",555330240,4590
"1858",555313500,4589
"1859",554573700,4588
"1860",552280400,4587
"1861",550694200,4586
"1862",549060100,4586
"1863",545497700,4585
"1864",542426400,4584
"1865",542082700,4583
"1866",541830700,4582
"1867",539374600,4581
"1868",536299680,4580
"1869",535151520,4579
"1870",533798080,4578
"1871",533454050,4577
"1872",532767520,4576
"1873",531739140,4576
"1874",530529200,4575
"1875",529605540,4574
"1876",527903940,4573
"1877",527513760,4572
"1878",525556800,4572
"1879",524990300,4571
"1880",524981540,4570
"1881",523925380,4570
"1882",523854050,4569
"1883",523831000,4568
"1884",522825400,4567
"1885",522272220,4566
"1886",514604740,4565
"1887",510162530,4564
"1888",507290080,4563
"1889",507089730,4562
"1890",507050430,4561
"1891",505177760,4560
"1892",501777300,4559
"1893",501299040,4558
"1894",500050100,4557
"1895",499812350,4556
"1896",497971400,4555
"1897",495554460,4554
"1898",495338940,4553
"1899",493554460,4552
"1900",490960480,4551
"1901",490031550,4550
"1902",488299330,4549
"1903",487517000,4548
"1904",486774140,4547
"1905",483184300,4546
"1906",481419140,4545
"1907",481137630,4544
"1908",479546430,4543
"1909",477859070,4542
"1910",477690780,4541
"1911",477425950,4540
"1912",476799000,4539
"1913",476031740,4538
"1914",475424960,4537
"1915",472660670,4536
"1916",469966940,4535
"1917",465583070,4534
"1918",465214560,4533
"1919",462284540,4532
"1920",461479940,4531
"1921",460748130,4530
"1922",458725000,4529
"1923",457025380,4528
"1924",455473060,4527
"1925",455306100,4526
"1926",455191200,4525
"1927",453658000,4524
"1928",449556220,4523
"1929",448551520,4522
"1930",448430270,4521
"1931",447575520,4520
"1932",443421950,4520
"1933",443132800,4519
"1934",441020260,4518
"1935",440958140,4517
"1936",439863360,4516
"1937",439760900,4515
"1938",439409570,4514
"1939",433637820,4514
"1940",433487170,4513
"1941",433255170,4512
"1942",433069920,4511
"1943",432294620,4510
"1944",430986340,4509
"1945",430334000,4509
"1946",430096220,4508
"1947",427541920,4507
"1948",424825000,4506
"1949",424609630,4505
"1950",422866980,4505
"1951",422088860,4504
"1952",421265760,4503
"1953",420751650,4502
"1954",419006270,4501
"1955",417401300,4500
"1956",415024100,4499
"1957",414929600,4498
"1958",414388160,4497
"1959",412314270,4496
"1960",411194180,4495
"1961",410844480,4494
"1962",410594900,4493
"1963",410406050,4492
"1964",410161400,4491
"1965",409112350,4490
"1966",407765300,4489
"1967",406952400,4489
"1968",406574880,4488
"1969",406512770,4487
"1970",406359780,4487
"1971",406272800,4486
"1972",406201540,4485
"1973",405952860,4485
"1974",404631330,4484
"1975",403584740,4483
"1976",402400220,4482
"1977",401031650,4481
"1978",399999200,4480
"1979",395293660,4479
"1980",394956930,4478
"1981",393093060,4477
"1982",393063170,4476
"1983",392120770,4475
"1984",391897120,4475
"1985",389896900,4475
"1986",388152960,4475
"1987",387580160,4474
"1988",387191870,4473
"1989",386939300,4473
"1990",386347040,4472
"1991",384156300,4472
"1992",383937180,4471
"1993",383832700,4470
"1994",382239230,4469
"1995",381792200,4468
"1996",381401120,4467
"1997",380931740,4466
"1998",379133920,4465
"1999",377956380,4464
"2000",377716900,4463
"2001",376292860,4462
"2002",375792740,4461
"2003",374080700,4460
"2004",371866780,4459
"2005",371278900,4458
"2006",369803620,4457
"2007",369147800,4456
"2008",369074200,4455
"2009",368258660,4454
"2010",367737400,4453
"2011",367564200,4452
"2012",364630200,4451
"2013",363560930,4450
"2014",363502270,4449
"2015",362881000,4448
"2016",362702700,4447
"2017",361812480,4446
"2018",361589280,4445
"2019",360080670,4445
"2020",359296220,4444
"2021",359252000,4443
"2022",358597500,4442
"2023",358563550,4441
"2024",357051460,4440
"2025",355890880,4439
"2026",355746660,4439
"2027",351220770,4439
"2028",348901150,4438
"2029",347123330,4438
"2030",344152300,4437
"2031",342234270,4436
"2032",342169250,4435
"2033",340417200,4434
"2034",338690600,4434
"2035",338684640,4433
"2036",337762660,4432
"2037",337171000,4431
"2038",336872320,4430
"2039",336772130,4429
"2040",335815680,4429
"2041",334117900,4428
"2042",333447800,4427
"2043",331375140,4426
"2044",331013250,4425
"2045",329766660,4424
"2046",328844160,4424
"2047",327383200,4423
"2048",327332030,4423
"2049",326476960,4422
"2050",326319680,4422
"2051",326245900,4421
"2052",325603330,4420
"2053",325535200,4419
"2054",325104580,4418
"2055",324029860,4417
"2056",323990500,4416
"2057",323769860,4415
"2058",323592800,4415
"2059",323143230,4414
"2060",321717400,4414
"2061",321488860,4413
"2062",318959740,4412
"2063",317899000,4411
"2064",315271870,4410
"2065",315229220,4409
"2066",314583680,4409
"2067",314168320,4408
"2068",314002050,4408
"2069",313345100,4408
"2070",313034300,4407
"2071",313019740,4406
"2072",311921280,4405
"2073",311254100,4404
"2074",311247140,4403
"2075",309090720,4403
"2076",308983420,4402
"2077",308306460,4401
"2078",307440100,4400
"2079",304911500,4399
"2080",304641060,4398
"2081",304469500,4398
"2082",304002560,4397
"2083",303706340,4396
"2084",302797440,4395
"2085",302571780,4395
"2086",301927550,4394
"2087",299341600,4393
"2088",297201500,4392
"2089",297051460,4391
"2090",296909980,4390
"2091",296351140,4389
"2092",294849250,4388
"2093",294218050,4387
"2094",294185700,4386
"2095",293651700,4385
"2096",293102620,4384
"2097",292815680,4383
"2098",290309660,4383
"2099",288285300,4382
"2100",287457600,4381
"2101",286661440,4380
"2102",286404640,4379
"2103",285660740,4378
"2104",284776770,4377
"2105",284643900,4377
"2106",284584800,4376
"2107",284310370,4375
"2108",284177570,4374
"2109",283657440,4373
"2110",283275460,4372
"2111",283120770,4371
"2112",281760800,4370
"2113",279902240,4369
"2114",277633250,4368
"2115",276232480,4367
"2116",275064260,4366
"2117",275040130,4365
"2118",274907780,4364
"2119",274751940,4363
"2120",274436640,4362
"2121",274317730,4361
"2122",271961440,4360
"2123",271260700,4359
"2124",270986500,4358
"2125",270946700,4357
"2126",270701250,4356
"2127",270597920,4356
"2128",268318220,4355
"2129",268248130,4354
"2130",267473170,4353
"2131",265405280,4352
"2132",265226340,4351
"2133",262288780,4350
"2134",262177630,4349
"2135",262169760,4348
"2136",261276320,4347
"2137",261219340,4346
"2138",260853950,4345
"2139",260716960,4345
"2140",260545420,4344
"2141",260021570,4343
"2142",259824100,4342
"2143",259275870,4342
"2144",258497860,4341
"2145",258381870,4340
"2146",254562000,4339
"2147",254147680,4339
