"","cutoff_index","TP_ALL"
"370",159642.48,5763
"371",159556.4,5762
"372",159076.52,5761
"373",159060.14,5760
"374",158834.28,5760
"375",158543.06,5759
"376",158350.48,5758
"377",158210.98,5757
"378",158079.33,5756
"379",157702.25,5755
"380",155936.17,5754
"381",155909.88,5753
"382",155873.31,5752
"383",155442.25,5752
"384",155441.17,5752
"385",155385.61,5751
"386",155373.84,5750
"387",155351.25,5749
"388",155349.33,5749
"389",155311.72,5748
"390",155264.31,5747
"391",155096.4,5746
"392",154844.22,5745
"393",154578.52,5744
"394",154334.02,5743
"395",154110.2,5743
"396",154081.53,5742
"397",153851.4,5742
"398",153725.45,5742
"399",153673.8,5741
"400",153538.16,5740
"401",153523.2,5739
"402",153458.39,5738
"403",153404.06,5737
"404",153051.19,5736
"405",153009.52,5735
"406",152605.28,5734
"407",152454.88,5734
"408",152448.3,5733
"409",152388.73,5733
"410",152318.36,5732
"411",151625.72,5731
"412",151600.48,5730
"413",151481.78,5730
"414",151386.64,5729
"415",151357.78,5728
"416",151290.95,5727
"417",151268.11,5726
"418",151205.86,5725
"419",151117.44,5724
"420",151050.2,5723
"421",151018.83,5723
"422",150945.2,5722
"423",150938.36,5721
"424",150667.77,5721
"425",150389.95,5720
"426",150126.62,5719
"427",150082.5,5718
"428",149968.94,5717
"429",149925.03,5716
"430",149808.42,5716
"431",149243.47,5715
"432",149236.28,5714
"433",148954.88,5713
"434",148704.88,5712
"435",148654.2,5711
"436",148228.72,5710
"437",148159.22,5709
"438",148148.81,5708
"439",147997.7,5707
"440",147778.12,5707
"441",147721.23,5707
"442",147719.56,5706
"443",147637.56,5705
"444",147445.27,5704
"445",147395.7,5704
"446",147184.03,5703
"447",147013.5,5702
"448",147010.84,5701
"449",146976.72,5700
"450",146950.72,5700
"451",146766.88,5700
"452",146503.62,5699
"453",146436.47,5698
"454",146160.06,5697
"455",146127.9,5696
"456",146124.16,5696
"457",146023.25,5695
"458",145873.56,5695
"459",145835.3,5694
"460",145794.03,5694
"461",145768.36,5693
"462",145589.66,5692
"463",145223.56,5692
"464",145215.47,5692
"465",145093.03,5691
"466",145011.94,5690
"467",144469.03,5689
"468",144004.12,5689
"469",143979.53,5688
"470",143827.53,5687
"471",143722.17,5686
"472",143346.22,5686
"473",143332.77,5685
"474",143268.33,5684
"475",143031.67,5683
"476",142954.89,5682
"477",142949.66,5681
"478",142713.9,5681
"479",142671.89,5680
"480",142541.77,5679
"481",142497.58,5678
"482",142319.23,5677
"483",142269.3,5676
"484",142220.11,5675
"485",141988.75,5674
"486",141931.69,5674
"487",141811.03,5673
"488",141809.81,5672
"489",141747.4,5671
"490",141623.64,5670
"491",141304.98,5669
"492",141253.17,5668
"493",141241.39,5667
"494",141202.2,5666
"495",141093.16,5665
"496",141058.94,5665
"497",141018.84,5665
"498",140925.38,5664
"499",140896.38,5664
"500",140848.73,5663
"501",140742.89,5663
"502",140634.67,5662
"503",140617.77,5661
"504",140251.5,5660
"505",140248.81,5659
"506",140163.44,5658
"507",139612.92,5657
"508",139439.78,5656
"509",139435.3,5655
"510",139361.22,5654
"511",139116.72,5653
"512",139087,5653
"513",138957.67,5652
"514",138471.78,5651
"515",138470.06,5650
"516",138429.69,5650
"517",138394.83,5650
"518",138327.56,5649
"519",138314.19,5648
"520",138089.1,5647
"521",137833.19,5647
"522",137733,5646
"523",137555.97,5645
"524",137507.86,5644
"525",137290.17,5644
"526",137240.14,5643
"527",137204.16,5642
"528",137105.34,5642
"529",137031.81,5641
"530",136719.47,5640
"531",136707.28,5639
"532",136673.5,5638
"533",136668.84,5638
"534",136663.08,5637
"535",136570.66,5636
"536",136502.73,5635
"537",136391.27,5635
"538",136335.83,5634
"539",136265.03,5634
"540",136227.44,5633
"541",136045.84,5632
"542",135830.7,5631
"543",135822.67,5630
"544",135791.34,5629
"545",135604.39,5628
"546",135591.6,5627
"547",135590.27,5626
"548",135407.72,5625
"549",135343.75,5624
"550",135324.5,5623
"551",135306.84,5622
"552",135287.5,5621
"553",135184.98,5620
"554",135156.67,5620
"555",135039.34,5619
"556",135000.5,5618
"557",134922.31,5617
"558",134621.89,5616
"559",134525.14,5615
"560",134523.64,5614
"561",134018.66,5613
"562",133908.44,5612
"563",133745.69,5611
"564",133571.9,5610
"565",133390.39,5609
"566",133266.75,5608
"567",132945.11,5607
"568",132827.94,5606
"569",132779.27,5605
"570",132768.88,5605
"571",132746.95,5604
"572",132709.02,5603
"573",132687.22,5603
"574",132478.72,5603
"575",132342.36,5602
"576",132337.94,5601
"577",132239.5,5600
"578",132209.03,5599
"579",132038.7,5598
"580",132031.95,5597
"581",131948.62,5596
"582",131754.39,5595
"583",131663.92,5594
"584",131661.56,5593
"585",131554.94,5592
"586",131549.45,5591
"587",131472.27,5590
"588",131294.44,5589
"589",131206.86,5588
"590",131082.83,5587
"591",131055.39,5587
"592",130932.14,5586
"593",130898.41,5585
"594",130859.96,5584
"595",130558.61,5583
"596",130531.125,5582
"597",130382.97,5581
"598",130286.25,5580
"599",130281.555,5579
"600",130203.14,5578
"601",130145.695,5577
"602",130020.41,5576
"603",129944.53,5575
"604",129911.61,5574
"605",129754.45,5574
"606",129445.195,5573
"607",129223.625,5572
"608",129079.28,5572
"609",128849.4,5572
"610",128844.37,5571
"611",128840.72,5570
"612",128792.33,5569
"613",128781.414,5568
"614",128661.48,5568
"615",128558.48,5568
"616",128474.836,5568
"617",128199.516,5568
"618",128184.16,5567
"619",128148.56,5566
"620",127936.09,5566
"621",127922.62,5565
"622",127914,5565
"623",127866.375,5564
"624",127774.05,5564
"625",127675.33,5563
"626",127575.99,5562
"627",127537.49,5561
"628",127533.086,5561
"629",127430.59,5560
"630",127319.19,5559
"631",127269.15,5558
"632",127237.664,5557
"633",126767.4,5556
"634",126649.92,5555
"635",126640.53,5554
"636",126479.13,5553
"637",126404.07,5552
"638",126248.016,5551
"639",126229.055,5551
"640",126177.766,5550
"641",126171.625,5549
"642",125974.35,5548
"643",125956.44,5547
"644",125838.85,5546
"645",125830.51,5545
"646",125770.28,5544
"647",125762.17,5544
"648",125747.65,5543
"649",125580.82,5542
"650",125533.266,5541
"651",125426.09,5540
"652",125213.016,5540
"653",125119.234,5539
"654",125092.555,5538
"655",125073.65,5537
"656",124910.89,5536
"657",124760.58,5536
"658",124743.55,5536
"659",124681.29,5536
"660",124594.5,5535
"661",124506.445,5534
"662",124473.875,5533
"663",124248.7,5533
"664",124226.3,5532
"665",124199.72,5531
"666",124178.32,5530
"667",124168.75,5529
"668",123768.43,5528
"669",123620.94,5527
"670",123480.555,5526
"671",123430.72,5525
"672",123427.61,5524
"673",123285.92,5523
"674",123206.93,5522
"675",123153.4,5521
"676",123121.77,5520
"677",123044.83,5519
"678",123006.13,5518
"679",122986.72,5517
"680",122799.66,5516
"681",122757.414,5515
"682",122703.88,5514
"683",122702.33,5513
"684",122611.37,5512
"685",122579.07,5511
"686",122542.305,5510
"687",122090.72,5509
"688",122023.28,5508
"689",121982.51,5507
"690",121926.1,5506
"691",121785.086,5505
"692",121687.086,5504
"693",121623.875,5503
"694",121547.31,5503
"695",121544.6,5502
"696",121517.63,5501
"697",121426.57,5500
"698",121391.83,5499
"699",121280.914,5498
"700",121256.69,5497
"701",121188.49,5496
"702",121100.055,5495
"703",120903.305,5494
"704",120881.734,5493
"705",120731.695,5492
"706",120622.12,5491
"707",120415.445,5490
"708",120315.34,5489
"709",120219.016,5488
"710",120212.34,5487
"711",119930.41,5486
"712",119813.41,5485
"713",119749.766,5484
"714",119691.6,5483
"715",119564.09,5483
"716",119434.03,5482
"717",119271.78,5482
"718",119138.766,5481
"719",119135.27,5480
"720",119015.53,5479
"721",118980.66,5479
"722",118773.64,5478
"723",118755.6,5477
"724",118621.72,5476
"725",118579.85,5475
"726",118483.95,5474
"727",118392.85,5473
"728",118388.27,5472
"729",118371.94,5471
"730",118349.55,5470
"731",118288.7,5469
"732",118266.766,5468
"733",118190.195,5467
"734",118156.47,5466
"735",118145.05,5466
"736",118138.14,5465
"737",118093.805,5464
"738",118078.64,5463
"739",118076.49,5462
"740",117890.93,5461
"741",117877.47,5460
"742",117764.984,5459
"743",117657.84,5458
"744",117458.4,5457
"745",117351.13,5456
"746",117215.99,5455
"747",117193.78,5454
"748",116983.016,5453
"749",116909.836,5452
"750",116905.5,5452
"751",116880.28,5451
"752",116481.09,5451
"753",116460.68,5450
"754",116444.46,5449
"755",116334.41,5449
"756",116312.06,5448
"757",116229.25,5447
"758",116143.25,5447
"759",116072.805,5446
"760",115985.2,5445
"761",115977.734,5445
"762",115973.29,5444
"763",115915.25,5443
"764",115915.16,5442
"765",115900.1,5441
"766",115879.08,5440
"767",115846.99,5440
"768",115797.75,5439
"769",115763.47,5438
"770",115759.664,5437
"771",115663.17,5436
"772",115637.89,5435
"773",115489.87,5434
"774",115415.625,5433
"775",115358.78,5433
"776",115242.49,5432
"777",115023.92,5431
"778",114814.65,5430
"779",114696.55,5429
"780",114620.08,5428
"781",114551.3,5428
"782",114535.75,5428
"783",114517.1,5427
"784",114409.39,5427
"785",114399.766,5426
"786",114347.664,5425
"787",114339.125,5424
"788",114212.78,5424
"789",114203.42,5423
"790",114202.65,5422
"791",114134.84,5422
"792",114130.25,5421
"793",114090.41,5420
"794",114058.414,5419
"795",113964.48,5418
"796",113749.94,5417
"797",113715.164,5416
"798",113704.16,5415
"799",113663.59,5414
"800",113660.79,5413
"801",113548.93,5412
"802",113372.3,5412
"803",113278.79,5412
"804",113083.305,5412
"805",112870.12,5411
"806",112850.44,5410
"807",112778.14,5410
"808",112772.17,5409
"809",112705.39,5408
"810",112613.875,5407
"811",112530.95,5406
"812",112390.8,5405
"813",112048.234,5404
"814",112038.055,5404
"815",112035.164,5403
"816",112016,5402
"817",112011.06,5401
"818",111874.59,5400
"819",111861.234,5399
"820",111797.984,5398
"821",111761.14,5397
"822",111687.02,5396
"823",111639.055,5395
"824",111565.625,5394
"825",111446.04,5393
"826",111354.09,5392
"827",111274.31,5391
"828",111175.66,5391
"829",111098.305,5390
"830",111064.36,5389
"831",111032.766,5389
"832",111017.78,5389
"833",110944.31,5388
"834",110933.72,5387
"835",110878.586,5386
"836",110855.734,5385
"837",110776.125,5384
"838",110690.125,5383
"839",110676.91,5382
"840",110656.58,5381
"841",110621.83,5380
"842",110545.21,5379
"843",110530.96,5378
"844",110452.26,5377
"845",110452.1,5376
"846",110444.92,5375
"847",110322.97,5374
"848",110295.86,5373
"849",109982.65,5373
"850",109962.72,5372
"851",109908.81,5371
"852",109851.805,5371
"853",109778.8,5370
"854",109747.14,5369
"855",109604.2,5368
"856",109579.9,5367
"857",109549.375,5366
"858",109513.15,5366
"859",109495.12,5365
"860",109263.7,5364
"861",109257.48,5364
"862",109189.78,5363
"863",109166.86,5363
"864",109097.72,5362
"865",109083.56,5362
"866",109060.92,5361
"867",108911.67,5361
"868",108823.87,5361
"869",108730.79,5360
"870",108394.95,5359
"871",108330.3,5358
"872",108273.55,5357
"873",108125.414,5356
"874",108115.47,5355
"875",108101.17,5354
"876",108035.28,5353
"877",107940.65,5353
"878",107892.9,5352
"879",107766.984,5352
"880",107728.375,5352
"881",107676.3,5352
"882",107655.26,5351
"883",107655.18,5350
"884",107638.28,5349
"885",107536.81,5348
"886",107478.41,5347
"887",107422.086,5346
"888",107404.36,5345
"889",107339.84,5344
"890",107323.92,5343
"891",107168.85,5342
"892",107111.734,5341
"893",107059.45,5340
"894",107040.52,5339
"895",106934.37,5338
"896",106915.41,5338
"897",106871.88,5337
"898",106827.81,5336
"899",106749.74,5335
"900",106668.74,5334
"901",106627.31,5333
"902",106443.77,5333
"903",106441.82,5332
"904",106354.98,5331
"905",106251.23,5330
"906",106181.016,5329
"907",106174.695,5329
"908",106132.12,5328
"909",106034.58,5328
"910",105970.17,5327
"911",105963.5,5326
"912",105888.37,5325
"913",105805.516,5325
"914",105564.5,5324
"915",105558.266,5324
"916",105452.71,5324
"917",105414.83,5324
"918",105347.664,5323
"919",105342.266,5322
"920",105328.21,5322
"921",105230.36,5321
"922",105200.59,5320
"923",105199.984,5319
"924",105134.19,5318
"925",105022.11,5317
"926",105019.78,5316
"927",104866.02,5315
"928",104840.83,5315
"929",104724.14,5314
"930",104701.36,5313
"931",104472.59,5313
"932",104405.53,5312
"933",104389.65,5311
"934",104382.125,5311
"935",104123.984,5310
"936",104012.75,5309
"937",103984.2,5308
"938",103944.7,5307
"939",103944.37,5306
"940",103912.57,5305
"941",103910.89,5304
"942",103910.11,5303
"943",103909.234,5302
"944",103616.94,5301
"945",103609.09,5300
"946",103605.68,5300
"947",103524.59,5299
"948",103406.94,5298
"949",103325.46,5297
"950",103292.43,5297
"951",103219.37,5296
"952",103204.99,5295
"953",103200.836,5294
"954",103184.1,5294
"955",103161.766,5293
"956",103124.52,5292
"957",103102.055,5291
"958",103075.695,5290
"959",103073.3,5289
"960",102794.66,5288
"961",102767.445,5287
"962",102695.695,5286
"963",102636.625,5285
"964",102558.04,5284
"965",102488.95,5283
"966",102487.11,5282
"967",102443,5281
"968",102237.61,5280
"969",102218.484,5279
"970",102187.79,5278
"971",102159.5,5277
"972",101982.53,5276
"973",101843.86,5275
"974",101794.52,5274
"975",101726.91,5274
"976",101709.83,5273
"977",101709.39,5272
"978",101683.125,5271
"979",101672.19,5270
"980",101671.9,5269
"981",101659.21,5268
"982",101575.75,5267
"983",101424.6,5266
"984",101393.48,5265
"985",101341.44,5264
"986",101307.46,5263
"987",101280.42,5262
"988",101265.94,5262
"989",101221.33,5261
"990",101205.37,5260
"991",101167.34,5259
"992",101093.7,5258
"993",101052.4,5257
"994",100986.66,5257
"995",100954.04,5257
"996",100871.2,5256
"997",100842.02,5255
"998",100808.41,5254
"999",100777.55,5254
"1000",100769.54,5253
"1001",100754.22,5252
"1002",100713.01,5251
"1003",100680.836,5250
"1004",100674.25,5249
"1005",100548.76,5248
"1006",100492.625,5247
"1007",100477.42,5246
"1008",100455.05,5245
"1009",100440.1,5244
"1010",100353.836,5243
"1011",100201.28,5242
"1012",100060.32,5241
"1013",100013.555,5240
"1014",99971,5239
"1015",99965.11,5238
"1016",99959.766,5237
"1017",99958.26,5236
"1018",99942.15,5236
"1019",99936.75,5236
"1020",99896.73,5235
"1021",99838.9,5234
"1022",99637.805,5233
"1023",99540.77,5232
"1024",99539.44,5231
"1025",99517.516,5230
"1026",99468.41,5230
"1027",99439.26,5229
"1028",99427.43,5229
"1029",99426.92,5228
"1030",99321.6,5227
"1031",99274.586,5226
"1032",99261,5226
"1033",99210.35,5225
"1034",99199.43,5224
"1035",99148.14,5223
"1036",99057.61,5222
"1037",99017.9,5221
"1038",98972.38,5221
"1039",98952.75,5220
"1040",98942.84,5219
"1041",98839.43,5218
"1042",98827.03,5217
"1043",98801.445,5216
"1044",98673.945,5215
"1045",98648.32,5214
"1046",98615.7,5213
"1047",98534.3,5212
"1048",98527.01,5211
"1049",98481.586,5210
"1050",98457.99,5209
"1051",98415.59,5209
"1052",98338.93,5208
"1053",98335.81,5207
"1054",98303.125,5206
"1055",98217.84,5205
"1056",98050.77,5204
"1057",98004.766,5203
"1058",97912.664,5202
"1059",97887.51,5201
"1060",97870.555,5201
"1061",97855.81,5200
"1062",97822.58,5199
"1063",97643.35,5198
"1064",97642.305,5197
"1065",97611.43,5196
"1066",97583.63,5195
"1067",97528.805,5194
"1068",97491.39,5194
"1069",97470.17,5194
"1070",97466.26,5193
"1071",97369.23,5193
"1072",97307.375,5192
"1073",97293.234,5191
"1074",97242.41,5190
"1075",97200.27,5190
"1076",97122.1,5189
"1077",97110.94,5188
"1078",97013.19,5187
"1079",96968.58,5186
"1080",96915.01,5185
"1081",96893.52,5185
"1082",96849.69,5185
"1083",96813.14,5184
"1084",96746.55,5183
"1085",96728.39,5182
"1086",96684.93,5181
"1087",96681.18,5181
"1088",96670.445,5180
"1089",96644.664,5179
"1090",96631.06,5178
"1091",96545.82,5177
"1092",96501.3,5176
"1093",96498.37,5176
"1094",96474.55,5175
"1095",96465.484,5175
"1096",96452.25,5174
"1097",96438.875,5173
"1098",96428.125,5172
"1099",96370.555,5171
"1100",96213.22,5171
"1101",96132.47,5170
"1102",96124.61,5169
"1103",96091.34,5168
"1104",96085.44,5167
"1105",95971.29,5167
"1106",95911.94,5167
"1107",95796.664,5166
"1108",95709.72,5165
"1109",95689.29,5164
"1110",95688.266,5164
"1111",95687.53,5164
"1112",95659.86,5163
"1113",95627.45,5162
"1114",95612.445,5162
"1115",95585.82,5161
"1116",95325.19,5160
"1117",95320.664,5159
"1118",95305.98,5158
"1119",95239.63,5157
"1120",95234.91,5157
"1121",95192.21,5156
"1122",95191.8,5155
"1123",95017.65,5154
"1124",95012.805,5153
"1125",94992.45,5152
"1126",94973.84,5151
"1127",94955.36,5150
"1128",94912.4,5149
"1129",94874.96,5148
"1130",94827.375,5147
"1131",94789.33,5146
"1132",94783.9,5145
"1133",94714.36,5145
"1134",94566.71,5144
"1135",94469.02,5143
"1136",94336.375,5142
"1137",94275.81,5141
"1138",94242.2,5140
"1139",94227.695,5139
"1140",94205.25,5138
"1141",94178.19,5137
"1142",94139.586,5136
"1143",94130.33,5135
"1144",94030.41,5134
"1145",94005.56,5134
"1146",93914.15,5134
"1147",93873.84,5133
"1148",93858.72,5132
"1149",93845.31,5131
"1150",93827.44,5130
"1151",93807.28,5129
"1152",93799.016,5128
"1153",93786.24,5127
"1154",93764.27,5126
"1155",93678.86,5126
"1156",93640.945,5125
"1157",93600.234,5124
"1158",93557.29,5123
"1159",93545.74,5122
"1160",93527.8,5121
"1161",93525.79,5120
"1162",93518.05,5119
"1163",93344.6,5118
"1164",93342.33,5117
"1165",93273.24,5116
"1166",93259.18,5116
"1167",93249.04,5115
"1168",93181.56,5114
"1169",93102.14,5113
"1170",93065.164,5112
"1171",93021.07,5112
"1172",93003.39,5111
"1173",92950.81,5110
"1174",92942.61,5109
"1175",92928.36,5108
"1176",92878.305,5107
"1177",92793.78,5106
"1178",92793.63,5105
"1179",92720.56,5104
"1180",92715.9,5103
"1181",92696.47,5102
"1182",92552.53,5101
"1183",92544.03,5100
"1184",92530.734,5099
"1185",92467.74,5098
"1186",92434.59,5097
"1187",92434.08,5096
"1188",92423.19,5096
"1189",92412.04,5095
"1190",92407.414,5094
"1191",92405.64,5093
"1192",92212.04,5092
"1193",92176.85,5092
"1194",92081.22,5091
"1195",92059.53,5090
"1196",91992.695,5090
"1197",91991.336,5089
"1198",91962.19,5088
"1199",91958.58,5088
"1200",91928.58,5087
"1201",91888.414,5086
"1202",91874.3,5086
"1203",91862.17,5085
"1204",91851.2,5084
"1205",91849.95,5083
"1206",91799.78,5082
"1207",91757.75,5081
"1208",91545.02,5080
"1209",91544.95,5080
"1210",91435.06,5079
"1211",91308.125,5078
"1212",91269.49,5078
"1213",91213.875,5077
"1214",91184.07,5076
"1215",91180.11,5075
"1216",91164.91,5074
"1217",91147.52,5074
"1218",91120.25,5073
"1219",91098.75,5072
"1220",91090.3,5071
"1221",91048.12,5070
"1222",90975.29,5069
"1223",90964.71,5068
"1224",90893.97,5067
"1225",90852.44,5066
"1226",90803.95,5065
"1227",90788.4,5065
"1228",90775.01,5064
"1229",90756.01,5064
"1230",90702.58,5063
"1231",90663.38,5062
"1232",90654.44,5061
"1233",90632.1,5060
"1234",90591.51,5059
"1235",90541.45,5058
"1236",90504.125,5057
"1237",90428.24,5057
"1238",90381.91,5056
"1239",90343.836,5055
"1240",90326.77,5054
"1241",90306.41,5053
"1242",90245.34,5052
"1243",90232.65,5052
"1244",90230.734,5051
"1245",90207.12,5050
"1246",90186.836,5049
"1247",90181.4,5048
"1248",90163.81,5047
