"","cutoff_index","FP_ALL"
"185",0.9999,946
"186",0.9999,946
"187",0.9999,946
"188",0.9999,946
"189",0.9999,946
"190",0.9999,946
"191",0.9999,946
"192",0.9999,946
"193",0.9999,946
"194",0.9999,946
"195",0.9999,946
"196",0.9999,946
"197",0.9999,946
"198",0.9999,946
"199",0.9999,946
"200",0.9999,946
"201",0.9999,946
"202",0.9999,946
"203",0.9999,946
"204",0.9999,946
"205",0.9999,946
"206",0.9999,946
"207",0.9999,946
"208",0.9999,946
"209",0.9999,946
"210",0.9999,946
"211",0.9999,946
"212",0.9999,946
"213",0.9999,946
"214",0.9999,946
"215",0.9999,946
"216",0.9999,946
"217",0.9999,946
"218",0.9999,946
"219",0.9999,946
"220",0.9999,946
"221",0.9999,946
"222",0.9999,946
"223",0.9999,946
"224",0.9999,946
"225",0.9999,946
"226",0.9999,946
"227",0.9999,946
"228",0.9999,946
"229",0.9999,946
"230",0.9999,946
"231",0.9999,946
"232",0.9999,946
"233",0.9999,946
"234",0.9999,946
"235",0.9999,946
"236",0.9999,946
"237",0.9999,946
"238",0.9999,946
"239",0.9999,946
"240",0.9999,946
"241",0.9999,946
"242",0.9999,946
"243",0.9999,946
"244",0.9999,946
"245",0.9999,946
"246",0.9999,946
"247",0.9999,946
"248",0.9999,946
"249",0.9999,946
"250",0.9999,946
"251",0.9999,946
"252",0.9999,946
"253",0.9999,946
"254",0.9999,946
"255",0.9999,946
"256",0.9999,946
"257",0.9999,946
"258",0.9999,946
"259",0.9999,946
"260",0.9999,946
"261",0.9999,946
"262",0.9999,946
"263",0.9999,946
"264",0.9999,946
"265",0.9999,946
"266",0.9999,946
"267",0.9999,946
"268",0.9999,946
"269",0.9999,946
"270",0.9999,946
"271",0.9999,946
"272",0.9999,946
"273",0.9999,946
"274",0.9999,946
"275",0.9999,946
"276",0.9999,946
"277",0.9999,946
"278",0.9999,946
"279",0.9999,946
"280",0.9999,946
"281",0.9999,946
"282",0.9999,946
"283",0.9999,946
"284",0.9999,946
"285",0.9999,946
"286",0.9999,946
"287",0.9999,946
"288",0.9999,946
"289",0.9999,946
"290",0.9999,946
"291",0.9999,946
"292",0.9999,946
"293",0.9999,946
"294",0.9999,946
"295",0.9999,946
"296",0.9999,946
"297",0.9999,946
"298",0.9999,946
"299",0.9999,946
"300",0.9999,946
"301",0.9999,946
"302",0.9999,946
"303",0.9999,946
"304",0.9999,946
"305",0.9999,946
"306",0.9999,946
"307",0.9999,946
"308",0.9999,946
"309",0.9999,946
"310",0.9999,946
"311",0.9999,946
"312",0.9999,946
"313",0.9999,946
"314",0.9999,946
"315",0.9999,946
"316",0.9999,946
"317",0.9999,946
"318",0.9999,946
"319",0.9999,946
"320",0.9999,946
"321",0.9999,946
"322",0.9999,946
"323",0.9999,946
"324",0.9999,946
"325",0.9999,946
"326",0.9999,946
"327",0.9999,946
"328",0.9999,946
"329",0.9999,946
"330",0.9999,946
"331",0.9999,946
"332",0.9999,946
"333",0.9999,946
"334",0.9999,946
"335",0.9999,946
"336",0.9999,946
"337",0.9999,946
"338",0.9999,946
"339",0.9999,946
"340",0.9999,946
"341",0.9999,946
"342",0.9999,946
"343",0.9999,946
"344",0.9999,946
"345",0.9999,946
"346",0.9999,946
"347",0.9999,946
"348",0.9999,946
"349",0.9999,946
"350",0.9999,946
"351",0.9999,946
"352",0.9999,946
"353",0.9999,946
"354",0.9999,946
"355",0.9999,946
"356",0.9999,946
"357",0.9999,946
"358",0.9999,946
"359",0.9999,946
"360",0.9999,946
"361",0.9999,946
"362",0.9999,946
"363",0.9999,946
"364",0.9999,946
"365",0.9999,946
"366",0.9999,946
"367",0.9999,946
"368",0.9999,946
"369",0.9999,946
"370",0.9999,946
"371",0.9999,946
"372",0.9999,946
"373",0.9999,946
"374",0.9999,946
"375",0.9999,946
"376",0.9999,946
"377",0.9999,946
"378",0.9999,946
"379",0.9999,946
"380",0.9999,946
"381",0.9999,946
"382",0.9999,946
"383",0.9999,946
"384",0.9999,946
"385",0.9999,946
"386",0.9999,946
"387",0.9999,946
"388",0.9999,946
"389",0.9999,946
"390",0.9999,946
"391",0.9999,946
"392",0.9999,946
"393",0.9999,946
"394",0.9999,946
"395",0.9999,946
"396",0.9999,946
"397",0.9999,946
"398",0.9999,946
"399",0.9999,946
"400",0.9999,946
"401",0.9999,946
