"","cutoff_index","FP_ALL"
"129",2.7477849e+14,934
"130",2.7061363e+14,934
"131",2.633591e+14,934
"132",2.6034154e+14,933
"133",2.527933e+14,933
"134",2.5217394e+14,933
"135",2.3964069e+14,933
"136",2.325659e+14,933
"137",2.2294677e+14,932
"138",2.2031092e+14,931
"139",2.1667476e+14,931
"140",2.0201194e+14,931
"141",2.0093417e+14,930
"142",1.9351604e+14,930
"143",1.9140797e+14,930
"144",1.8867142e+14,930
"145",1.8585837e+14,929
"146",1.7708217e+14,929
"147",1.6972122e+14,929
"148",1.6899906e+14,929
"149",1.6534956e+14,929
"150",1.6203475e+14,928
"151",1.4940529e+14,927
"152",1.4050316e+14,927
"153",1.38042614e+14,927
"154",1.3612933e+14,927
"155",1.3522848e+14,927
"156",1.3493922e+14,927
"157",1.33689564e+14,927
"158",1.22118646e+14,926
"159",1.1360624e+14,925
"160",1.1249392e+14,925
"161",1.12032385e+14,925
"162",1.1189624e+14,925
"163",1.1005748e+14,925
"164",1.0989117e+14,925
"165",1.0771163e+14,924
"166",9.387892e+13,924
"167",9.359437e+13,923
"168",9.072759e+13,923
"169",8.530876e+13,922
"170",8.366485e+13,922
"171",8.175939e+13,922
"172",7.762044e+13,922
"173",7.686648e+13,922
"174",7.5621565e+13,922
"175",7.464257e+13,921
"176",7.346806e+13,920
"177",7.235354e+13,920
"178",7.119699e+13,920
"179",7.0553914e+13,919
"180",6.9529984e+13,919
"181",6.679823e+13,918
"182",6.5044704e+13,917
"183",6.4317488e+13,917
"184",6.417416e+13,916
"185",6.2137217e+13,916
"186",6.1061747e+13,916
"187",5.980978e+13,915
"188",5.8078095e+13,915
"189",5.6378303e+13,915
"190",5.246255e+13,915
"191",5.202467e+13,915
"192",4.941695e+13,915
"193",4.7598338e+13,915
"194",4.728967e+13,915
"195",4.650947e+13,914
"196",4.6168306e+13,914
"197",4.5225913e+13,914
"198",4.5066026e+13,914
"199",4.4215887e+13,914
"200",4.404472e+13,914
"201",4.371659e+13,914
"202",4.2112372e+13,914
"203",4.209321e+13,913
"204",4.1137478e+13,913
"205",4.0810695e+13,913
"206",3.881561e+13,913
"207",3.874679e+13,913
"208",3.870661e+13,913
"209",3.6569956e+13,913
"210",3.5200872e+13,913
"211",3.503561e+13,912
"212",3.4703384e+13,912
"213",3.4646205e+13,912
"214",3.321192e+13,912
"215",3.309803e+13,912
"216",2.9771721e+13,912
"217",2.9155008e+13,911
"218",2.8978748e+13,910
"219",2.8887556e+13,909
"220",2.7827636e+13,909
"221",2.6786335e+13,909
"222",2.5868542e+13,909
"223",2.5111023e+13,909
"224",2.4476882e+13,909
"225",2.3383849e+13,908
"226",2.3150499e+13,907
"227",2.3030898e+13,906
"228",2.1666036e+13,906
"229",2.1368033e+13,905
"230",2.110889e+13,905
"231",2.0934512e+13,905
"232",2.0587083e+13,905
"233",2.0062698e+13,904
"234",1.9729234e+13,904
"235",1.861127e+13,904
"236",1.8583147e+13,904
"237",1.7605933e+13,904
"238",1.7590385e+13,904
"239",1.7407736e+13,904
"240",1.7339318e+13,904
"241",1.708897e+13,904
"242",1.6621375e+13,903
"243",1.6353791e+13,902
"244",1.6236797e+13,902
"245",1.5937244e+13,902
"246",1.5844611e+13,902
"247",1.5545679e+13,901
"248",1.5321484e+13,901
"249",1.4327955e+13,901
"250",1.4164765e+13,901
"251",1.3927286e+13,901
"252",1.3889214e+13,901
"253",1.3111742e+13,900
"254",1.2954719e+13,899
"255",1.2913705e+13,899
"256",1.2004937e+13,899
"257",1.1774345e+13,899
"258",1.1772807e+13,899
"259",1.1686476e+13,899
"260",1.1482146e+13,898
"261",1.130087e+13,898
"262",1.0791753e+13,898
"263",1.0272882e+13,898
"264",1.0201143e+13,897
"265",9.88957e+12,897
"266",9.778902e+12,897
"267",9.442836e+12,897
"268",9.353322e+12,896
"269",9.311064e+12,896
"270",9.098258e+12,896
"271",9.07739e+12,896
"272",9.077063e+12,896
"273",8476053500000,895
"274",8.426853e+12,894
"275",8.09531e+12,894
"276",8011496600000,894
"277",7.740907e+12,894
"278",7719893300000,894
"279",7.668299e+12,894
"280",7.491655e+12,894
"281",7.352745e+12,894
"282",7.34839e+12,894
"283",7.236159e+12,894
"284",7128219600000,894
