"","cutoff_index","FN_ALL"
"509",139435.3,365
"510",139361.22,366
"511",139116.72,367
"512",139087,367
"513",138957.67,368
"514",138471.78,369
"515",138470.06,370
"516",138429.69,370
"517",138394.83,370
"518",138327.56,371
"519",138314.19,372
"520",138089.1,373
"521",137833.19,373
"522",137733,374
"523",137555.97,375
"524",137507.86,376
"525",137290.17,376
"526",137240.14,377
"527",137204.16,378
"528",137105.34,378
"529",137031.81,379
"530",136719.47,380
"531",136707.28,381
"532",136673.5,382
"533",136668.84,382
"534",136663.08,383
"535",136570.66,384
"536",136502.73,385
"537",136391.27,385
"538",136335.83,386
"539",136265.03,386
"540",136227.44,387
"541",136045.84,388
"542",135830.7,389
"543",135822.67,390
"544",135791.34,391
"545",135604.39,392
"546",135591.6,393
"547",135590.27,394
"548",135407.72,395
"549",135343.75,396
"550",135324.5,397
"551",135306.84,398
"552",135287.5,399
"553",135184.98,400
"554",135156.67,400
"555",135039.34,401
"556",135000.5,402
"557",134922.31,403
"558",134621.89,404
"559",134525.14,405
"560",134523.64,406
"561",134018.66,407
"562",133908.44,408
"563",133745.69,409
"564",133571.9,410
"565",133390.39,411
"566",133266.75,412
"567",132945.11,413
"568",132827.94,414
"569",132779.27,415
"570",132768.88,415
"571",132746.95,416
"572",132709.02,417
"573",132687.22,417
"574",132478.72,417
"575",132342.36,418
"576",132337.94,419
"577",132239.5,420
"578",132209.03,421
"579",132038.7,422
"580",132031.95,423
"581",131948.62,424
"582",131754.39,425
"583",131663.92,426
"584",131661.56,427
"585",131554.94,428
"586",131549.45,429
"587",131472.27,430
"588",131294.44,431
"589",131206.86,432
"590",131082.83,433
"591",131055.39,433
"592",130932.14,434
"593",130898.41,435
"594",130859.96,436
"595",130558.61,437
"596",130531.125,438
"597",130382.97,439
"598",130286.25,440
"599",130281.555,441
"600",130203.14,442
"601",130145.695,443
"602",130020.41,444
"603",129944.53,445
"604",129911.61,446
"605",129754.45,446
"606",129445.195,447
"607",129223.625,448
"608",129079.28,448
"609",128849.4,448
"610",128844.37,449
"611",128840.72,450
"612",128792.33,451
"613",128781.414,452
"614",128661.48,452
"615",128558.48,452
"616",128474.836,452
"617",128199.516,452
"618",128184.16,453
"619",128148.56,454
"620",127936.09,454
"621",127922.62,455
"622",127914,455
"623",127866.375,456
"624",127774.05,456
"625",127675.33,457
"626",127575.99,458
"627",127537.49,459
"628",127533.086,459
"629",127430.59,460
"630",127319.19,461
"631",127269.15,462
"632",127237.664,463
"633",126767.4,464
"634",126649.92,465
"635",126640.53,466
"636",126479.13,467
"637",126404.07,468
"638",126248.016,469
"639",126229.055,469
"640",126177.766,470
"641",126171.625,471
"642",125974.35,472
"643",125956.44,473
"644",125838.85,474
"645",125830.51,475
"646",125770.28,476
"647",125762.17,476
"648",125747.65,477
"649",125580.82,478
"650",125533.266,479
"651",125426.09,480
"652",125213.016,480
"653",125119.234,481
"654",125092.555,482
"655",125073.65,483
"656",124910.89,484
"657",124760.58,484
"658",124743.55,484
"659",124681.29,484
"660",124594.5,485
"661",124506.445,486
"662",124473.875,487
