"","cutoff_index","FN_ALL"
"173",7.686648e+13,95
"174",7.5621565e+13,96
"175",7.464257e+13,96
"176",7.346806e+13,96
"177",7.235354e+13,97
"178",7.119699e+13,98
"179",7.0553914e+13,98
"180",6.9529984e+13,99
"181",6.679823e+13,99
"182",6.5044704e+13,99
"183",6.4317488e+13,100
"184",6.417416e+13,100
"185",6.2137217e+13,101
"186",6.1061747e+13,102
"187",5.980978e+13,102
"188",5.8078095e+13,103
"189",5.6378303e+13,104
"190",5.246255e+13,105
"191",5.202467e+13,106
"192",4.941695e+13,107
"193",4.7598338e+13,108
"194",4.728967e+13,109
"195",4.650947e+13,109
"196",4.6168306e+13,110
"197",4.5225913e+13,111
"198",4.5066026e+13,112
"199",4.4215887e+13,113
"200",4.404472e+13,114
"201",4.371659e+13,115
"202",4.2112372e+13,116
"203",4.209321e+13,116
"204",4.1137478e+13,117
"205",4.0810695e+13,118
"206",3.881561e+13,119
"207",3.874679e+13,120
"208",3.870661e+13,121
"209",3.6569956e+13,122
"210",3.5200872e+13,123
"211",3.503561e+13,123
"212",3.4703384e+13,124
"213",3.4646205e+13,125
"214",3.321192e+13,126
"215",3.309803e+13,127
"216",2.9771721e+13,128
"217",2.9155008e+13,128
"218",2.8978748e+13,128
"219",2.8887556e+13,128
"220",2.7827636e+13,129
"221",2.6786335e+13,130
"222",2.5868542e+13,131
"223",2.5111023e+13,132
"224",2.4476882e+13,133
"225",2.3383849e+13,133
"226",2.3150499e+13,133
"227",2.3030898e+13,133
"228",2.1666036e+13,134
"229",2.1368033e+13,134
"230",2.110889e+13,135
"231",2.0934512e+13,136
"232",2.0587083e+13,137
"233",2.0062698e+13,137
"234",1.9729234e+13,138
"235",1.861127e+13,139
"236",1.8583147e+13,140
"237",1.7605933e+13,141
"238",1.7590385e+13,142
"239",1.7407736e+13,143
"240",1.7339318e+13,144
"241",1.708897e+13,145
"242",1.6621375e+13,145
"243",1.6353791e+13,145
"244",1.6236797e+13,146
"245",1.5937244e+13,147
"246",1.5844611e+13,148
"247",1.5545679e+13,148
"248",1.5321484e+13,149
"249",1.4327955e+13,150
"250",1.4164765e+13,151
"251",1.3927286e+13,152
"252",1.3889214e+13,153
"253",1.3111742e+13,153
"254",1.2954719e+13,153
"255",1.2913705e+13,154
"256",1.2004937e+13,155
"257",1.1774345e+13,156
"258",1.1772807e+13,157
"259",1.1686476e+13,158
"260",1.1482146e+13,158
"261",1.130087e+13,159
"262",1.0791753e+13,160
"263",1.0272882e+13,161
"264",1.0201143e+13,161
"265",9.88957e+12,162
"266",9.778902e+12,163
"267",9.442836e+12,164
"268",9.353322e+12,164
"269",9.311064e+12,165
"270",9.098258e+12,166
"271",9.07739e+12,167
"272",9.077063e+12,168
"273",8476053500000,168
"274",8.426853e+12,168
"275",8.09531e+12,169
"276",8011496600000,170
"277",7.740907e+12,171
"278",7719893300000,172
"279",7.668299e+12,173
"280",7.491655e+12,174
"281",7.352745e+12,175
"282",7.34839e+12,176
"283",7.236159e+12,177
"284",7128219600000,178
"285",7.033099e+12,178
"286",6833678300000,179
"287",6.816141e+12,179
"288",6.81279e+12,180
"289",6.508501e+12,181
"290",6223888400000,182
"291",6086408500000,183
"292",5821382500000,183
"293",5.586228e+12,183
"294",5.501434e+12,184
"295",5.148193e+12,185
"296",5.084294e+12,186
"297",4.88573e+12,187
"298",4.753734e+12,188
"299",4.725431e+12,189
"300",4679845500000,190
"301",4.659333e+12,191
"302",4.632974e+12,192
"303",4483071300000,192
"304",4430874300000,193
"305",4428443700000,194
"306",4.424399e+12,195
"307",4260786900000,196
"308",4231975400000,197
"309",4.128155e+12,197
"310",3867293800000,198
"311",3832624700000,199
"312",3797741700000,200
"313",3761923700000,201
"314",3588415800000,201
"315",3.576662e+12,202
"316",3575765500000,203
"317",3.54706e+12,204
"318",3455783500000,204
"319",3318462300000,205
"320",3245269300000,205
"321",3225322300000,206
"322",3.192346e+12,206
"323",3017734400000,207
"324",2949008900000,208
"325",2896473400000,209
"326",2855669900000,210
"327",2790276200000,211
"328",2697923700000,212
"329",2.65255e+12,213
"330",2.520948e+12,214
"331",2520370600000,215
"332",2484117700000,216
"333",2322104300000,216
"334",2305111600000,217
"335",2266126600000,217
"336",2234017600000,217
"337",2206500400000,218
"338",2.202177e+12,219
"339",2.17803e+12,220
"340",2.080839e+12,220
"341",2072427600000,221
"342",2.071561e+12,221
"343",2059745900000,222
"344",1983491300000,222
"345",1975096700000,223
"346",1938790500000,224
"347",1852174900000,225
"348",1849738800000,226
"349",1827803100000,227
"350",1788308600000,228
"351",1782666900000,229
"352",1771892200000,230
