"","cutoff_index","FP_ALL"
"718",119138.766,821
"719",119135.27,821
"720",119015.53,821
"721",118980.66,820
"722",118773.64,820
"723",118755.6,820
"724",118621.72,820
"725",118579.85,820
"726",118483.95,820
"727",118392.85,820
"728",118388.27,820
"729",118371.94,820
"730",118349.55,820
"731",118288.7,820
"732",118266.766,820
"733",118190.195,820
"734",118156.47,820
"735",118145.05,819
"736",118138.14,819
"737",118093.805,819
"738",118078.64,819
"739",118076.49,819
"740",117890.93,819
"741",117877.47,819
"742",117764.984,819
"743",117657.84,819
"744",117458.4,819
"745",117351.13,819
"746",117215.99,819
"747",117193.78,819
"748",116983.016,819
"749",116909.836,819
"750",116905.5,818
"751",116880.28,818
"752",116481.09,817
"753",116460.68,817
"754",116444.46,817
"755",116334.41,816
"756",116312.06,816
"757",116229.25,816
"758",116143.25,815
"759",116072.805,815
"760",115985.2,815
"761",115977.734,814
"762",115973.29,814
"763",115915.25,814
"764",115915.16,814
"765",115900.1,814
"766",115879.08,814
"767",115846.99,813
"768",115797.75,813
"769",115763.47,813
"770",115759.664,813
"771",115663.17,813
"772",115637.89,813
"773",115489.87,813
"774",115415.625,813
"775",115358.78,812
"776",115242.49,812
"777",115023.92,812
"778",114814.65,812
"779",114696.55,812
"780",114620.08,812
"781",114551.3,811
"782",114535.75,810
"783",114517.1,810
"784",114409.39,809
"785",114399.766,809
"786",114347.664,809
"787",114339.125,809
"788",114212.78,808
"789",114203.42,808
"790",114202.65,808
"791",114134.84,807
"792",114130.25,807
"793",114090.41,807
"794",114058.414,807
"795",113964.48,807
"796",113749.94,807
"797",113715.164,807
"798",113704.16,807
"799",113663.59,807
"800",113660.79,807
"801",113548.93,807
"802",113372.3,806
"803",113278.79,805
"804",113083.305,804
"805",112870.12,804
"806",112850.44,804
"807",112778.14,803
"808",112772.17,803
"809",112705.39,803
"810",112613.875,803
"811",112530.95,803
"812",112390.8,803
"813",112048.234,803
"814",112038.055,802
"815",112035.164,802
"816",112016,802
"817",112011.06,802
"818",111874.59,802
"819",111861.234,802
"820",111797.984,802
"821",111761.14,802
"822",111687.02,802
"823",111639.055,802
"824",111565.625,802
"825",111446.04,802
"826",111354.09,802
"827",111274.31,802
"828",111175.66,801
"829",111098.305,801
"830",111064.36,801
"831",111032.766,800
"832",111017.78,799
"833",110944.31,799
"834",110933.72,799
"835",110878.586,799
"836",110855.734,799
"837",110776.125,799
"838",110690.125,799
"839",110676.91,799
"840",110656.58,799
"841",110621.83,799
"842",110545.21,799
"843",110530.96,799
"844",110452.26,799
"845",110452.1,799
"846",110444.92,799
"847",110322.97,799
"848",110295.86,799
"849",109982.65,798
"850",109962.72,798
"851",109908.81,798
"852",109851.805,797
"853",109778.8,797
"854",109747.14,797
"855",109604.2,797
"856",109579.9,797
"857",109549.375,797
"858",109513.15,796
"859",109495.12,796
"860",109263.7,796
"861",109257.48,795
"862",109189.78,795
"863",109166.86,794
"864",109097.72,794
"865",109083.56,793
"866",109060.92,793
"867",108911.67,792
"868",108823.87,791
"869",108730.79,791
"870",108394.95,791
"871",108330.3,791
"872",108273.55,791
"873",108125.414,791
"874",108115.47,791
"875",108101.17,791
"876",108035.28,791
"877",107940.65,790
"878",107892.9,790
"879",107766.984,789
"880",107728.375,788
"881",107676.3,787
"882",107655.26,787
"883",107655.18,787
"884",107638.28,787
"885",107536.81,787
"886",107478.41,787
"887",107422.086,787
"888",107404.36,787
"889",107339.84,787
"890",107323.92,787
"891",107168.85,787
"892",107111.734,787
"893",107059.45,787
"894",107040.52,787
"895",106934.37,787
"896",106915.41,786
"897",106871.88,786
"898",106827.81,786
"899",106749.74,786
"900",106668.74,786
"901",106627.31,786
"902",106443.77,785
"903",106441.82,785
"904",106354.98,785
"905",106251.23,785
"906",106181.016,785
"907",106174.695,784
"908",106132.12,784
"909",106034.58,783
"910",105970.17,783
"911",105963.5,783
"912",105888.37,783
"913",105805.516,782
"914",105564.5,782
"915",105558.266,781
"916",105452.71,780
"917",105414.83,779
"918",105347.664,779
"919",105342.266,779
"920",105328.21,778
"921",105230.36,778
"922",105200.59,778
"923",105199.984,778
"924",105134.19,778
"925",105022.11,778
"926",105019.78,778
"927",104866.02,778
"928",104840.83,777
"929",104724.14,777
"930",104701.36,777
"931",104472.59,776
"932",104405.53,776
"933",104389.65,776
"934",104382.125,775
"935",104123.984,775
"936",104012.75,775
"937",103984.2,775
"938",103944.7,775
"939",103944.37,775
"940",103912.57,775
"941",103910.89,775
"942",103910.11,775
"943",103909.234,775
"944",103616.94,775
"945",103609.09,775
"946",103605.68,774
"947",103524.59,774
"948",103406.94,774
"949",103325.46,774
"950",103292.43,773
"951",103219.37,773
"952",103204.99,773
"953",103200.836,773
"954",103184.1,772
"955",103161.766,772
"956",103124.52,772
"957",103102.055,772
"958",103075.695,772
"959",103073.3,772
"960",102794.66,772
"961",102767.445,772
"962",102695.695,772
"963",102636.625,772
"964",102558.04,772
"965",102488.95,772
"966",102487.11,772
"967",102443,772
"968",102237.61,772
"969",102218.484,772
"970",102187.79,772
"971",102159.5,772
"972",101982.53,772
"973",101843.86,772
"974",101794.52,772
"975",101726.91,771
"976",101709.83,771
"977",101709.39,771
"978",101683.125,771
"979",101672.19,771
"980",101671.9,771
"981",101659.21,771
"982",101575.75,771
"983",101424.6,771
"984",101393.48,771
"985",101341.44,771
"986",101307.46,771
"987",101280.42,771
"988",101265.94,770
"989",101221.33,770
"990",101205.37,770
"991",101167.34,770
"992",101093.7,770
"993",101052.4,770
"994",100986.66,769
"995",100954.04,768
"996",100871.2,768
"997",100842.02,768
"998",100808.41,768
"999",100777.55,767
"1000",100769.54,767
"1001",100754.22,767
"1002",100713.01,767
"1003",100680.836,767
"1004",100674.25,767
"1005",100548.76,767
"1006",100492.625,767
"1007",100477.42,767
"1008",100455.05,767
"1009",100440.1,767
"1010",100353.836,767
"1011",100201.28,767
"1012",100060.32,767
"1013",100013.555,767
"1014",99971,767
"1015",99965.11,767
"1016",99959.766,767
"1017",99958.26,767
"1018",99942.15,766
"1019",99936.75,765
"1020",99896.73,765
"1021",99838.9,765
"1022",99637.805,765
"1023",99540.77,765
"1024",99539.44,765
"1025",99517.516,765
"1026",99468.41,764
"1027",99439.26,764
"1028",99427.43,763
"1029",99426.92,763
"1030",99321.6,763
"1031",99274.586,763
"1032",99261,762
"1033",99210.35,762
"1034",99199.43,762
"1035",99148.14,762
"1036",99057.61,762
"1037",99017.9,762
"1038",98972.38,761
"1039",98952.75,761
"1040",98942.84,761
"1041",98839.43,761
"1042",98827.03,761
"1043",98801.445,761
"1044",98673.945,761
"1045",98648.32,761
"1046",98615.7,761
"1047",98534.3,761
"1048",98527.01,761
"1049",98481.586,761
"1050",98457.99,761
"1051",98415.59,760
"1052",98338.93,760
"1053",98335.81,760
"1054",98303.125,760
"1055",98217.84,760
"1056",98050.77,760
"1057",98004.766,760
"1058",97912.664,760
"1059",97887.51,760
"1060",97870.555,759
"1061",97855.81,759
"1062",97822.58,759
"1063",97643.35,759
"1064",97642.305,759
"1065",97611.43,759
"1066",97583.63,759
"1067",97528.805,759
"1068",97491.39,758
"1069",97470.17,757
"1070",97466.26,757
"1071",97369.23,756
"1072",97307.375,756
"1073",97293.234,756
"1074",97242.41,756
"1075",97200.27,755
"1076",97122.1,755
"1077",97110.94,755
"1078",97013.19,755
"1079",96968.58,755
"1080",96915.01,755
"1081",96893.52,754
"1082",96849.69,753
"1083",96813.14,753
"1084",96746.55,753
"1085",96728.39,753
"1086",96684.93,753
"1087",96681.18,752
"1088",96670.445,752
"1089",96644.664,752
"1090",96631.06,752
"1091",96545.82,752
"1092",96501.3,752
"1093",96498.37,751
"1094",96474.55,751
"1095",96465.484,750
"1096",96452.25,750
"1097",96438.875,750
"1098",96428.125,750
"1099",96370.555,750
"1100",96213.22,749
"1101",96132.47,749
"1102",96124.61,749
"1103",96091.34,749
"1104",96085.44,749
"1105",95971.29,748
"1106",95911.94,747
"1107",95796.664,747
"1108",95709.72,747
"1109",95689.29,747
"1110",95688.266,746
"1111",95687.53,745
"1112",95659.86,745
"1113",95627.45,745
"1114",95612.445,744
"1115",95585.82,744
"1116",95325.19,744
"1117",95320.664,744
"1118",95305.98,744
"1119",95239.63,744
"1120",95234.91,743
"1121",95192.21,743
"1122",95191.8,743
"1123",95017.65,743
"1124",95012.805,743
"1125",94992.45,743
"1126",94973.84,743
"1127",94955.36,743
"1128",94912.4,743
"1129",94874.96,743
"1130",94827.375,743
"1131",94789.33,743
"1132",94783.9,743
"1133",94714.36,742
"1134",94566.71,742
"1135",94469.02,742
"1136",94336.375,742
"1137",94275.81,742
"1138",94242.2,742
"1139",94227.695,742
"1140",94205.25,742
"1141",94178.19,742
"1142",94139.586,742
"1143",94130.33,742
"1144",94030.41,742
"1145",94005.56,741
"1146",93914.15,740
"1147",93873.84,740
"1148",93858.72,740
"1149",93845.31,740
"1150",93827.44,740
"1151",93807.28,740
"1152",93799.016,740
"1153",93786.24,740
"1154",93764.27,740
"1155",93678.86,739
"1156",93640.945,739
"1157",93600.234,739
"1158",93557.29,739
"1159",93545.74,739
"1160",93527.8,739
"1161",93525.79,739
"1162",93518.05,739
"1163",93344.6,739
"1164",93342.33,739
"1165",93273.24,739
"1166",93259.18,738
"1167",93249.04,738
"1168",93181.56,738
"1169",93102.14,738
"1170",93065.164,738
"1171",93021.07,737
"1172",93003.39,737
"1173",92950.81,737
"1174",92942.61,737
"1175",92928.36,737
"1176",92878.305,737
"1177",92793.78,737
"1178",92793.63,737
"1179",92720.56,737
"1180",92715.9,737
"1181",92696.47,737
"1182",92552.53,737
"1183",92544.03,737
"1184",92530.734,737
"1185",92467.74,737
"1186",92434.59,737
"1187",92434.08,737
"1188",92423.19,736
"1189",92412.04,736
"1190",92407.414,736
"1191",92405.64,736
"1192",92212.04,736
"1193",92176.85,735
"1194",92081.22,735
"1195",92059.53,735
"1196",91992.695,734
"1197",91991.336,734
"1198",91962.19,734
"1199",91958.58,733
"1200",91928.58,733
"1201",91888.414,733
"1202",91874.3,732
"1203",91862.17,732
"1204",91851.2,732
"1205",91849.95,732
"1206",91799.78,732
"1207",91757.75,732
"1208",91545.02,732
"1209",91544.95,731
"1210",91435.06,731
"1211",91308.125,731
"1212",91269.49,730
"1213",91213.875,730
"1214",91184.07,730
"1215",91180.11,730
"1216",91164.91,730
"1217",91147.52,729
"1218",91120.25,729
"1219",91098.75,729
"1220",91090.3,729
"1221",91048.12,729
"1222",90975.29,729
"1223",90964.71,729
"1224",90893.97,729
"1225",90852.44,729
"1226",90803.95,729
"1227",90788.4,728
"1228",90775.01,728
"1229",90756.01,727
"1230",90702.58,727
"1231",90663.38,727
"1232",90654.44,727
"1233",90632.1,727
"1234",90591.51,727
"1235",90541.45,727
"1236",90504.125,727
"1237",90428.24,726
"1238",90381.91,726
"1239",90343.836,726
"1240",90326.77,726
"1241",90306.41,726
"1242",90245.34,726
"1243",90232.65,725
"1244",90230.734,725
"1245",90207.12,725
"1246",90186.836,725
"1247",90181.4,725
"1248",90163.81,725
