"","cutoff_index","TN_ALL"
"517",281232830000,158
"518",278620370000,158
"519",278457500000,159
"520",275476740000,160
"521",275389740000,160
"522",269495120000,160
"523",267827860000,160
"524",266397220000,160
"525",264673790000,160
"526",262656210000,161
"527",261878480000,161
"528",256830210000,161
"529",255856430000,162
"530",255302240000,162
"531",248269770000,162
"532",248071060000,162
"533",247356460000,162
"534",245114140000,162
"535",240479320000,162
"536",236280400000,162
"537",234469440000,162
"538",228259900000,162
"539",227635280000,162
"540",226976400000,162
"541",226162540000,162
"542",224908150000,163
"543",219044680000,163
"544",218900820000,164
"545",217118340000,164
"546",216570020000,164
"547",216516250000,165
"548",214110390000,165
"549",213529250000,166
"550",212861940000,166
"551",211302800000,166
"552",211012010000,166
"553",210629510000,167
"554",208405950000,167
"555",207412500000,167
"556",206404440000,167
"557",203581750000,167
"558",198021150000,168
"559",196646550000,168
"560",195286430000,168
"561",194290940000,168
"562",1.94064e+11,169
"563",193866800000,169
"564",193340460000,169
"565",190842290000,169
"566",190699200000,169
"567",188596810000,169
"568",187503890000,169
"569",186724160000,169
"570",184630410000,170
"571",184602500000,170
"572",184381520000,170
"573",183991810000,170
"574",183394220000,170
"575",182384050000,170
"576",180769770000,170
"577",180158090000,170
"578",178973250000,170
"579",177314780000,170
"580",175185410000,171
"581",172598740000,171
"582",170905470000,172
"583",167525580000,172
"584",164286550000,172
"585",163992270000,172
"586",162306400000,172
"587",161856210000,172
"588",155628440000,172
"589",153999050000,173
"590",150396030000,174
"591",146922160000,175
"592",146308300000,176
"593",143626800000,176
"594",142202360000,176
"595",141832390000,177
"596",141465550000,178
"597",139315660000,179
"598",137983130000,179
"599",137582740000,179
"600",136899360000,180
"601",134686060000,180
"602",131350020000,181
"603",127019180000,181
"604",126135140000,182
"605",125541530000,182
"606",125107250000,182
"607",124111120000,182
"608",123313520000,183
"609",121236940000,183
"610",120675670000,184
"611",118455930000,184
"612",118232960000,184
"613",117766700000,184
"614",115511110000,184
"615",114708870000,185
"616",114683030000,185
"617",114367310000,185
"618",113764010000,185
"619",113550840000,185
"620",113487880000,185
"621",112349766000,185
"622",110715840000,185
"623",109814194000,185
"624",109507265000,185
"625",108984115000,185
"626",108503376000,185
"627",108287670000,185
"628",107938005000,185
"629",106697970000,185
"630",106282700000,185
"631",105733915000,186
"632",105575900000,187
"633",103686636000,187
"634",103499010000,187
"635",103316960000,187
"636",102520250000,187
"637",101690600000,188
"638",101674640000,189
"639",99222360000,190
"640",98932790000,190
