"","cutoff_index","TN_ALL"
"251",184270.83,87
"252",184009.6,87
"253",184003.98,88
"254",183989.06,88
"255",183935.1,88
"256",183523.39,88
"257",183392.31,88
"258",183352.06,89
"259",183297,89
"260",183234.5,89
"261",182775.8,90
"262",182491.66,90
"263",182323.84,90
"264",181917.95,90
"265",181897.98,90
"266",181615.95,91
"267",181546.66,91
"268",181243.86,91
"269",180948.6,91
"270",180827.14,91
"271",180603.67,92
"272",180208.98,92
"273",180114.94,92
"274",179846.88,93
"275",179800.98,93
"276",179581.66,94
"277",179512.06,94
"278",179054.19,94
"279",179014.52,94
"280",178568,95
"281",178269.64,96
"282",177588.34,97
"283",177491.95,97
"284",177368.95,97
"285",177148.1,97
"286",176986.75,97
"287",176922.9,97
"288",176680.78,97
"289",176602.6,97
"290",176571.3,97
"291",175370.08,97
"292",175199.44,98
"293",174802.7,98
"294",174736.88,98
"295",174586.75,98
"296",174505.7,99
"297",174468.98,100
"298",174294.92,100
"299",174269.86,100
"300",174255.84,100
"301",174203.34,100
"302",174128.64,100
"303",174034.9,101
"304",173934.19,101
"305",173843.84,101
"306",173277.33,102
"307",173090.08,102
"308",172878.58,102
"309",172723.89,102
"310",172688.84,102
"311",172633.88,102
"312",172406.55,102
"313",171943.31,102
"314",171915.72,102
"315",171761.3,103
"316",171162.22,103
"317",171001.12,103
"318",170833.53,103
"319",170805.97,103
"320",170618.23,103
"321",170460.69,103
"322",170189.3,103
"323",169812.45,103
"324",169665.12,103
"325",169319.4,103
"326",169206.6,104
"327",168791.67,104
"328",168336.38,104
"329",168281.06,104
"330",168184,104
"331",168174.11,105
"332",167792.03,106
"333",167229,106
"334",166946.16,106
"335",166813.81,107
"336",166715.45,107
"337",166578.97,107
"338",166568.44,107
"339",166122.92,107
"340",165778.77,107
"341",165625.53,107
"342",165112.16,107
"343",164843.97,108
"344",164660.22,108
"345",164465.34,108
"346",164357.31,109
"347",164331.97,109
"348",163741.1,109
"349",163530.14,109
"350",163519.38,110
"351",163504.58,110
"352",163238.73,110
"353",163172.84,110
"354",162659.19,110
"355",162628.22,110
"356",162544.66,110
"357",162242.1,110
"358",162180.81,111
"359",161996.34,111
"360",161909.67,111
"361",161881.3,112
"362",161816.73,112
"363",161812.06,112
"364",161641.73,112
"365",161189.53,112
"366",161167.8,112
"367",160673.67,112
"368",159997.06,112
"369",159915.48,112
"370",159642.48,113
"371",159556.4,113
"372",159076.52,113
"373",159060.14,113
"374",158834.28,114
"375",158543.06,114
"376",158350.48,114
"377",158210.98,114
"378",158079.33,114
"379",157702.25,114
"380",155936.17,114
"381",155909.88,114
"382",155873.31,114
"383",155442.25,115
"384",155441.17,116
"385",155385.61,116
"386",155373.84,116
"387",155351.25,116
"388",155349.33,117
"389",155311.72,117
"390",155264.31,117
"391",155096.4,117
"392",154844.22,117
"393",154578.52,117
"394",154334.02,117
"395",154110.2,118
"396",154081.53,118
"397",153851.4,119
"398",153725.45,120
"399",153673.8,120
"400",153538.16,120
"401",153523.2,120
"402",153458.39,120
"403",153404.06,120
"404",153051.19,120
"405",153009.52,120
"406",152605.28,120
"407",152454.88,121
"408",152448.3,121
"409",152388.73,122
"410",152318.36,122
"411",151625.72,122
"412",151600.48,122
"413",151481.78,123
"414",151386.64,123
"415",151357.78,123
"416",151290.95,123
"417",151268.11,123
"418",151205.86,123
"419",151117.44,123
"420",151050.2,123
"421",151018.83,124
"422",150945.2,124
"423",150938.36,124
"424",150667.77,125
"425",150389.95,125
"426",150126.62,125
"427",150082.5,125
"428",149968.94,125
"429",149925.03,125
"430",149808.42,126
"431",149243.47,126
"432",149236.28,126
"433",148954.88,126
"434",148704.88,126
"435",148654.2,126
"436",148228.72,126
"437",148159.22,126
"438",148148.81,126
"439",147997.7,126
"440",147778.12,127
"441",147721.23,128
"442",147719.56,128
"443",147637.56,128
"444",147445.27,128
"445",147395.7,129
"446",147184.03,129
"447",147013.5,129
"448",147010.84,129
"449",146976.72,129
"450",146950.72,130
"451",146766.88,131
"452",146503.62,131
"453",146436.47,131
"454",146160.06,131
"455",146127.9,131
"456",146124.16,132
"457",146023.25,132
"458",145873.56,133
"459",145835.3,133
"460",145794.03,134
"461",145768.36,134
"462",145589.66,134
"463",145223.56,135
"464",145215.47,136
"465",145093.03,136
"466",145011.94,136
"467",144469.03,136
"468",144004.12,137
"469",143979.53,137
"470",143827.53,137
"471",143722.17,137
"472",143346.22,138
"473",143332.77,138
"474",143268.33,138
"475",143031.67,138
"476",142954.89,138
"477",142949.66,138
"478",142713.9,139
"479",142671.89,139
"480",142541.77,139
"481",142497.58,139
"482",142319.23,139
"483",142269.3,139
"484",142220.11,139
"485",141988.75,139
"486",141931.69,140
"487",141811.03,140
"488",141809.81,140
"489",141747.4,140
"490",141623.64,140
"491",141304.98,140
"492",141253.17,140
"493",141241.39,140
"494",141202.2,140
"495",141093.16,140
"496",141058.94,141
"497",141018.84,142
"498",140925.38,142
"499",140896.38,143
"500",140848.73,143
"501",140742.89,144
"502",140634.67,144
"503",140617.77,144
"504",140251.5,144
"505",140248.81,144
"506",140163.44,144
"507",139612.92,144
"508",139439.78,144
"509",139435.3,144
"510",139361.22,144
"511",139116.72,144
"512",139087,145
"513",138957.67,145
"514",138471.78,145
"515",138470.06,145
"516",138429.69,146
"517",138394.83,147
"518",138327.56,147
"519",138314.19,147
"520",138089.1,147
"521",137833.19,148
"522",137733,148
"523",137555.97,148
"524",137507.86,148
"525",137290.17,149
"526",137240.14,149
"527",137204.16,149
"528",137105.34,150
"529",137031.81,150
"530",136719.47,150
"531",136707.28,150
"532",136673.5,150
"533",136668.84,151
"534",136663.08,151
"535",136570.66,151
"536",136502.73,151
"537",136391.27,152
"538",136335.83,152
"539",136265.03,153
"540",136227.44,153
"541",136045.84,153
"542",135830.7,153
"543",135822.67,153
"544",135791.34,153
